index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
734,13-06-1905,Maus II : And Here My Troubles Began ,Art Spiegelman,eng,Famous,4.41,90147,nonfiction,583.83,350.298,4.99,842,Hachette Book Group,32832
735,15-05-1905,The Snowy Day,Ezra Jack Keats,eng,Excellent,4.13,81914,genre fiction,1170,702,10,843,"Amazon Digital Services,  Inc.",32832
736,25-06-1905,To the Nines,Janet Evanovich,eng,Excellent,4.16,86963,genre fiction,1402.83,841.698,11.99,844,Penguin Group (USA) LLC,32832
737,04-07-1905,Where We Belong,Emily Giffin,en-US,Intermediate,3.86,68224,nonfiction,115.83,0,0.99,845,"Amazon Digital Services,  Inc.",32616
738,16-06-1905,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,eng,Excellent,4.1,72207,genre fiction,349.83,0,2.99,846,"Amazon Digital Services,  Inc.",32616
739,21-06-1905,ã‚¹ãƒ—ãƒ¼ãƒˆãƒ‹ã‚¯ã®æ‹äºº [SupÅ«toniku no Koibito],"Haruki Murakami, Philip Gabriel",eng,Intermediate,3.82,62229,genre fiction,1084.59,650.754,9.27,846,Penguin Group (USA) LLC,32616
740,04-07-1905,The Signature of All Things,Elizabeth Gilbert,eng,Intermediate,3.81,61135,nonfiction,232.83,139.698,1.99,848,"Amazon Digital Services,  Inc.",32400
741,25-06-1905,"Eats, Shoots and Leaves",Lynne Truss,en-US,Intermediate,3.86,79117,genre fiction,466.83,0,3.99,852,"Amazon Digital Services,  Inc.",32184
742,26-06-1905,Dead Witch Walking,Kim Harrison,en-US,Excellent,4.04,91390,nonfiction,349.83,0,2.99,852,"Amazon Digital Services,  Inc.",32184
743,08-06-1905,,"Clement C. Moore, Jan Brett",en-US,Excellent,4.36,81553,genre fiction,466.83,0,3.99,853,"Amazon Digital Services,  Inc.",32184
744,01-07-1905,An Echo in the Bone,Diana Gabaldon,eng,Famous,4.42,68854,genre fiction,1391.13,834.678,11.89,854,Simon and Schuster Digital Sales Inc,32184
745,03-07-1905,Unearthly,Cynthia Hand,en-US,Excellent,4.06,99942,genre fiction,232.83,139.698,1.99,857,Hachette Book Group,31968
746,10-06-1905,The Case for Christ,Lee Strobel,,Excellent,4.1,67128,genre fiction,799.11,479.466,6.83,859,Macmillan,31752
747,27-06-1905,Knife of Dreams,Robert Jordan,en-US,Excellent,4.12,71379,genre fiction,349.83,0,2.99,860,"Amazon Digital Services,  Inc.",31752
748,24-06-1905,Hoot,Carl Hiaasen,eng,Intermediate,3.81,75275,genre fiction,583.83,350.298,4.99,862,Penguin Group (USA) LLC,31752
749,###############################################################################################################################################################################################################################################################,Ã†neis,"Virgil, Robert Fitzgerald",eng,Intermediate,3.81,75051,genre fiction,114.84,0,0.99,863,"Amazon Digital Services,  Inc.",31752
750,04-07-1905,This is How You Lose Her,Junot DÃ­az,eng,Intermediate,3.75,66720,nonfiction,624.08,374.448,5.38,865,"Amazon Digital Services,  Inc.",31536
