index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
844,04-07-1905,Me and Earl and the Dying Girl,Jesse Andrews,en-US,Intermediate,3.58,82270,nonfiction,1241.87,745.122,10.99,988,Random House LLC,2889
845,02-07-1905,The Ugly Truth,Jeff Kinney,en-US,Excellent,4.16,68701,nonfiction,111.87,67.122,0.99,990,"Amazon Digital Services,  Inc.",2889
846,24-06-1905,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",Janet Evanovich,,Excellent,4.34,63691,genre fiction,169.5,101.7,1.5,992,HarperCollins Publishers,2889
847,20-06-1905,"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",Simon Winchester,eng,Intermediate,3.84,71411,genre fiction,450.87,270.522,3.99,993,Simon and Schuster Digital Sales Inc,2862
848,24-06-1905,2nd Chance,"James Patterson, Andrew Gross",eng,Excellent,4.01,68834,genre fiction,1388.77,833.262,12.29,993,HarperCollins Publishers,2862
849,08-06-1905,The Complete Maus,Art Spiegelman,en-GB,Famous,4.53,76785,nonfiction,111.87,67.122,0.99,994,"Amazon Digital Services,  Inc.",2862
850,23-06-1905,The Eyre Affair,Jasper Fforde,en-US,Intermediate,3.92,85683,nonfiction,111.87,67.122,0.99,995,"Amazon Digital Services,  Inc.",2862
851,11-06-1905,Anne Rice's The Vampire Lestat: The Graphic Novel,"Faye Perozich, Anne Rice, John Bolton, Daerick GrÃ¶ss",en-GB,Excellent,4.17,61842,genre fiction,111.87,0,0.99,996,"Amazon Digital Services,  Inc.",2862
852,31-05-1905,,"Louis Sachar, Adam McCauley",eng,Excellent,4.14,74121,genre fiction,864.45,518.67,7.65,997,Penguin Group (USA) LLC,2862
853,20-06-1905,The Art of Happiness: A Handbook for Living,"Dalai Lama XIV, Howard C. Cutler",eng,Excellent,4.14,61498,nonfiction,1327.75,796.65,11.75,1000,Random House LLC,2862
854,06-07-1905,The Bone Clocks,David Mitchell,eng,Intermediate,3.81,53151,genre fiction,781.96,469.176,6.92,1001,Random House LLC,2862
855,20-06-1905,Black and Blue,Anna Quindlen,eng,Intermediate,3.86,67753,genre fiction,450.87,270.522,3.99,1001,"Amazon Digital Services,  Inc.",2862
856,02-07-1905,,"L.J. Smith, Kevin Williamson, Julie Plec",en-US,Excellent,4.1,59715,genre fiction,337.87,0,2.99,1004,"Amazon Digital Services,  Inc.",2862
857,26-06-1905,The Last Juror,John Grisham,eng,Intermediate,3.85,63114,nonfiction,970.67,582.402,8.59,1005,Penguin Group (USA) LLC,2862
858,25-06-1905,Diary,Chuck Palahniuk,eng,Intermediate,3.6,58428,genre fiction,1015.87,609.522,8.99,1006,Hachette Book Group,2862
859,27-06-1905,Eleven on Top,Janet Evanovich,en-US,Excellent,4.15,84363,genre fiction,846.37,507.822,7.49,1006,Penguin Group (USA) LLC,2862
860,27-06-1905,Tintenblut,"Cornelia Funke, Anthea Bell",eng,Intermediate,3.91,82291,genre fiction,789.87,473.922,6.99,1007,"Amazon Digital Services,  Inc.",2862
861,25-06-1905,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,en-US,Intermediate,3.75,56548,genre fiction,111.87,67.122,0.99,1007,"Amazon Digital Services,  Inc.",2862
862,28-04-1905,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Evelyn Waugh,eng,Intermediate,3.99,69087,nonfiction,224.87,134.922,1.99,1008,"Amazon Digital Services,  Inc.",2862
863,29-06-1905,White Night,Jim Butcher,en-US,Famous,4.41,73534,fiction,111.87,67.122,0.99,1009,"Amazon Digital Services,  Inc.",2862
864,06-07-1905,The Miniaturist,Jessie Burton,eng,Intermediate,3.58,56344,genre fiction,224.87,134.922,1.99,1010,HarperCollins Publishers,2862
865,06-06-1905,Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman",en-US,Excellent,4.03,76219,nonfiction,992.14,595.284,8.78,1011,Simon and Schuster Digital Sales Inc,2862
866,28-06-1905,The Lost Colony,Eoin Colfer,en-US,Excellent,4.01,103844,nonfiction,282.5,169.5,2.5,1012,"Amazon Digital Services,  Inc.",2862
867,28-06-1905,Extras,Scott Westerfeld,en-US,Intermediate,3.59,85873,genre fiction,110.88,66.528,0.99,1013,"Amazon Digital Services,  Inc.",2862
868,27-06-1905,The Burning Bridge,John Flanagan,en-US,Excellent,4.28,74156,nonfiction,838.88,503.328,7.49,1015,Macmillan,2862
869,06-07-1905,The Book of Life,Deborah Harkness,eng,Excellent,4.15,63027,genre fiction,334.88,0,2.99,1019,"Amazon Digital Services,  Inc.",2862
870,14-06-1905,The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,eng,Intermediate,3.89,66049,genre fiction,670.88,0,5.99,1020,"Amazon Digital Services,  Inc.",4480
871,14-06-1905,The Stinky Cheese Man and Other Fairly Stupid Tales,"Jon Scieszka, Lane Smith",eng,Excellent,4.2,78487,nonfiction,334.88,200.928,2.99,1020,"Amazon Digital Services,  Inc.",4480
872,01-07-1905,Horns,Joe Hill,en-US,Intermediate,3.92,66287,nonfiction,334.88,200.928,2.99,1022,Hachette Book Group,4480
873,03-07-1905,Catherine the Great: Portrait of a Woman,Robert K. Massie,en-CA,Intermediate,3.91,66591,genre fiction,110.88,0,0.99,1023,"Amazon Digital Services,  Inc.",4480
874,01-07-1905,The Year of the Flood,Margaret Atwood,eng,Excellent,4.05,68597,genre fiction,894.88,536.928,7.99,1024,Simon and Schuster Digital Sales Inc,4480
875,01-07-1905,Winter Garden,Kristin Hannah,en-GB,Excellent,4.13,66577,genre fiction,334.88,0,2.99,1027,"Amazon Digital Services,  Inc.",4480
876,25-06-1905,The King of Torts,John Grisham,eng,Intermediate,3.67,61835,nonfiction,670.88,402.528,5.99,1027,HarperCollins Publishers,4480
877,28-06-1905,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,"Marcus Luttrell, Patrick Robinson",eng,Excellent,4.34,46551,genre fiction,446.88,0,3.99,1030,"Amazon Digital Services,  Inc.",4440
878,30-06-1905,The 3 Mistakes of My Life,Chetan Bhagat,eng,Intermediate,2.97,53331,genre fiction,894.88,536.928,7.99,1032,Random House LLC,4440
879,09-04-1905,The Murder of Roger Ackroyd,Agatha Christie,eng,Excellent,4.2,71354,nonfiction,842.24,505.344,7.52,1032,"Amazon Digital Services,  Inc.",4440
880,23-04-1905,Native Son ,Richard Wright,eng,Intermediate,3.96,66194,genre fiction,334.88,0,2.99,1033,"Amazon Digital Services,  Inc.",4440
881,30-06-1905,Shadow's Edge,Brent Weeks,en-US,Excellent,4.27,66390,genre fiction,1326.08,795.648,11.84,1033,Random House LLC,4440
882,03-07-1905,Under the Never Sky,Veronica Rossi,en-GB,Excellent,4.01,74029,genre fiction,446.88,0,3.99,1034,"Amazon Digital Services,  Inc.",4440
883,25-06-1905,True Believer,Nicholas Sparks,en-US,Intermediate,3.8,62840,genre fiction,558.88,0,4.99,1035,"Amazon Digital Services,  Inc.",4440
884,03-07-1905,The Lean Startupâ€Ž,Eric Ries,en-US,Excellent,4.04,86284,genre fiction,110.88,66.528,0.99,1036,"Amazon Digital Services,  Inc.",4440
885,04-07-1905,The Golden Lily,Richelle Mead,en-US,Excellent,4.36,86929,genre fiction,1230.88,738.528,10.99,1037,Penguin Group (USA) LLC,4440
886,30-06-1905,Chasing Harry Winston,Lauren Weisberger,eng,Novice,3.32,63342,genre fiction,558.88,335.328,4.99,1042,Random House LLC,4440
887,05-06-1905,Magician's Gambit,David Eddings,,Excellent,4.13,69616,genre fiction,334.88,0,2.99,1042,"Amazon Digital Services,  Inc.",4440
888,01-07-1905,,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",eng,Famous,4.43,57279,genre fiction,838.88,503.328,7.49,1043,Penguin Group (USA) LLC,4440
889,13-05-1905,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,eng,Excellent,4.15,64391,genre fiction,334.88,200.928,2.99,1044,HarperCollins Publishers,4440
890,27-06-1905,A Long Way Down,Nick Hornby,eng,Novice,3.41,59843,nonfiction,446.88,268.128,3.99,1046,Hachette Book Group,4440
891,15-06-1905,Out from Boneville,"Jeff Smith, Steve Hamaker",eng,Excellent,4.16,62330,genre fiction,670.88,0,5.99,1048,"Amazon Digital Services,  Inc.",4400
892,17-06-1905,Rose Madder,Stephen King,eng,Intermediate,3.66,70921,genre fiction,222.88,133.728,1.99,1049,Simon and Schuster Digital Sales Inc,4400
893,20-06-1905,"Die Trying (Jack Reacher, #2)",Lee Child,en-US,Intermediate,4,62128,genre fiction,334.88,200.928,2.99,1050,Macmillan,4400
894,03-07-1905,Beautiful Chaos,"Kami Garcia, Margaret Stohl, Paz Pruneda",en-US,Intermediate,3.95,69709,genre fiction,222.88,133.728,1.99,1050,Hachette Book Group,4400
895,21-06-1905,Keeping Faith,Jodi Picoult,,Intermediate,3.79,62405,genre fiction,109.89,0,0.99,1052,"Amazon Digital Services,  Inc.",4400
896,29-06-1905,Heart-Shaped Box,Joe Hill,en-US,Intermediate,3.82,65005,genre fiction,331.89,0,2.99,1052,"Amazon Digital Services,  Inc.",4400
897,02-07-1905,Cabin Fever,Jeff Kinney,eng,Excellent,4.21,63347,nonfiction,1330.89,798.534,11.99,1053,Penguin Group (USA) LLC,4400
898,30-06-1905,,Brent Weeks,eng,Excellent,4.29,64961,fiction,442.89,0,3.99,1054,"Amazon Digital Services,  Inc.",4400
899,27-06-1905,Everyone Worth Knowing,Lauren Weisberger,en-US,Novice,3.39,59932,genre fiction,109.89,0,0.99,1055,"Amazon Digital Services,  Inc.",4400
900,08-06-1905,Redwall,Brian Jacques,eng,Excellent,4.11,73918,genre fiction,331.89,0,2.99,1056,"Amazon Digital Services,  Inc.",4400
901,21-01-1905,Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",eng,Intermediate,3.51,56464,genre fiction,331.89,0,2.99,1057,"Amazon Digital Services,  Inc.",4400
902,08-07-1905,The Woman in Cabin 10,Ruth Ware,eng,Intermediate,3.67,90541,nonfiction,109.89,65.934,0.99,1058,"Amazon Digital Services,  Inc.",4400
903,30-12-1904,The Last of the Mohicans: A Narrative of 1757,James Fenimore Cooper,eng,Intermediate,3.69,67632,genre fiction,109.89,0,0.99,1058,"Amazon Digital Services,  Inc.",4400
904,01-06-1905,Sophie's Choice,William Styron,eng,Excellent,4.18,66923,nonfiction,220.89,132.534,1.99,1059,"Amazon Digital Services,  Inc.",4400
905,26-06-1905,Shopaholic and Sister,Sophie Kinsella,eng,Intermediate,3.64,69007,genre fiction,331.89,0,2.99,1059,"Amazon Digital Services,  Inc.",4400
906,02-07-1905,The Iron Daughter,Julie Kagawa,eng,Excellent,4.13,93340,genre fiction,331.89,0,2.99,1060,"Amazon Digital Services,  Inc.",4400
907,22-06-1905,The Prayer of Jabez:  Breaking Through to the Blessed Life,Bruce H. Wilkinson,eng,Intermediate,3.92,57468,nonfiction,899.1,539.46,8.1,1061,"Amazon Digital Services,  Inc.",4400
908,04-07-1905,The Age of Miracles,Karen Thompson Walker,eng,Intermediate,3.64,61296,genre fiction,1314.24,788.544,11.84,1062,Random House LLC,4400
909,01-07-1905,Have a Little Faith: A True Story,Mitch Albom,en-US,Excellent,4.16,60002,nonfiction,220.89,132.534,1.99,1066,Hachette Book Group,4400
910,28-06-1905,My Life in France,"Julia Child, Alex Prud'Homme",eng,Excellent,4.16,63100,genre fiction,1330.89,798.534,11.99,1066,Penguin Group (USA) LLC,4400
911,06-07-1905,The Rosie Effect,Graeme Simsion,eng,Intermediate,3.56,27308,genre fiction,1225.44,735.264,11.04,1068,Macmillan,4360
912,03-07-1905,The Secret of the Nagas.,Amish Tripathi,eng,Intermediate,3.98,50158,genre fiction,109.89,65.934,0.99,1069,"Amazon Digital Services,  Inc.",4360
913,04-06-1905,Ham on Rye,Charles Bukowski,,Excellent,4.16,54140,genre fiction,196.47,0,1.77,1071,"Amazon Digital Services,  Inc.",4360
914,23-06-1905,Flipped,Wendelin Van Draanen,en-US,Intermediate,3.94,79264,nonfiction,109.89,0,0.99,1072,"Amazon Digital Services,  Inc.",4360
915,25-06-1905,Emotional Intelligence 2.0,"Travis Bradberry, Jean Greaves, Patrick Lencioni",,Intermediate,3.81,53384,genre fiction,109.89,0,0.99,1073,"Amazon Digital Services,  Inc.",4360
916,24-04-1905,Make Way for Ducklings,Robert McCloskey,,Excellent,4.21,70704,nonfiction,637.14,382.284,5.74,1074,HarperCollins Publishers,4360
917,17-06-1905,Relic,"Douglas Preston, Lincoln Child",eng,Excellent,4.01,68011,genre fiction,858.03,514.818,7.73,1075,Hachette Book Group,4360
918,17-06-1905,Notes from a Small Island,Bill Bryson,eng,Intermediate,3.91,66947,genre fiction,442.89,0,3.99,1076,"Amazon Digital Services,  Inc.",4360
919,30-06-1905,Small Favor,Jim Butcher,en-US,Famous,4.43,70029,nonfiction,1219.89,731.934,10.99,1077,Random House LLC,4360
920,01-07-1905,The Walking Dead Compendium Volume 1,Robert Kirkman,eng,Famous,4.43,57764,genre fiction,331.89,0,2.99,1078,"Amazon Digital Services,  Inc.",4360
921,27-06-1905,Princess Academy,Shannon Hale,eng,Excellent,4.01,82470,genre fiction,1414.14,848.484,12.74,1080,Simon and Schuster Digital Sales Inc,4360
922,07-07-1905,"Everything, Everything","Nicola Yoon, David Yoon",eng,Excellent,4.11,132552,genre fiction,331.89,0,2.99,1081,"Amazon Digital Services,  Inc.",4360
923,26-03-1905,Pygmalion,George Bernard Shaw,en-US,Intermediate,3.9,70079,genre fiction,331.89,0,2.99,1082,"Amazon Digital Services,  Inc.",4360
924,04-07-1905,Flight Behavior,Barbara Kingsolver,eng,Intermediate,3.75,57078,genre fiction,109.89,65.934,0.99,1085,"Amazon Digital Services,  Inc.",4360
925,30-06-1905,Grip of the Shadow Plague,Brandon Mull,eng,Excellent,4.26,65638,genre fiction,548.9,0,4.99,1089,"Amazon Digital Services,  Inc.",4360
926,21-06-1905,Bridget Jones: The Edge of Reason,Helen Fielding,eng,Intermediate,3.53,73093,nonfiction,1098.9,659.34,9.99,1090,"Amazon Digital Services,  Inc.",4360
927,16-06-1905,Captain Corelli's Mandolin,Louis de BerniÃ¨res,eng,Intermediate,3.95,57583,genre fiction,108.9,65.34,0.99,1091,"Amazon Digital Services,  Inc.",4360
928,26-06-1905,At First Sight,Nicholas Sparks,en-US,Intermediate,3.81,62219,genre fiction,108.9,65.34,0.99,1091,"Amazon Digital Services,  Inc.",4320
929,22-06-1905,Down Under,Bill Bryson,eng,Excellent,4.05,58688,genre fiction,438.9,0,3.99,1093,"Amazon Digital Services,  Inc.",4320
930,08-03-1905,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,eng,Excellent,4.32,56918,nonfiction,1230.9,738.54,11.19,1095,HarperCollins Publishers,4320
931,04-07-1905,The Orphan Master's Son,Adam Johnson,eng,Excellent,4.06,52765,genre fiction,108.9,65.34,0.99,1097,Macmillan,4320
932,06-06-1905,Enchanters' End Game,David Eddings,en-US,Excellent,4.17,69134,genre fiction,438.9,0,3.99,1098,"Amazon Digital Services,  Inc.",4320
933,25-06-1905,Persepolis,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",en-US,Excellent,4.36,71353,nonfiction,108.9,0,0.99,1099,"Amazon Digital Services,  Inc.",4320
934,20-05-1905,The Chosen,Chaim Potok,eng,Excellent,4.03,70701,fiction,218.9,131.34,1.99,1099,"Amazon Digital Services,  Inc.",4320
935,11-05-1905,The Agony and the Ecstasy: A Biographical Novel of Michelangelo,"Irving Stone, ×©×ž×•××œ ×©× ×™×¦×¨",eng,Excellent,4.09,61256,genre fiction,438.9,0,3.99,1100,"Amazon Digital Services,  Inc.",4320
936,30-06-1905,El juego del Ã¡ngel,"Carlos Ruiz ZafÃ³n, Lucia Graves",eng,Intermediate,3.86,46225,genre fiction,1351.9,811.14,12.29,1101,HarperCollins Publishers,4320
937,26-06-1905,Where Rainbows End,Cecelia Ahern,en-US,Intermediate,3.95,55236,nonfiction,1208.9,725.34,10.99,1101,Random House LLC,4320
938,16-05-1905,Amelia Bedelia,"Peggy Parish, Fritz Siebel",eng,Excellent,4.15,72329,genre fiction,878.9,527.34,7.99,1102,Penguin Group (USA) LLC,4320
939,04-07-1905,This Man,Jodi Ellen Malpas,eng,Excellent,4.13,79461,genre fiction,108.9,65.34,0.99,1102,"Amazon Digital Services,  Inc.",4320
940,02-07-1905,A Dog's Purpose ,W. Bruce Cameron,en-US,Excellent,4.35,65091,genre fiction,328.9,0,2.99,1105,"Amazon Digital Services,  Inc.",4320
941,07-07-1905,An Ember in the Ashes,Sabaa Tahir,eng,Excellent,4.32,45492,genre fiction,603.9,362.34,5.49,1106,HarperCollins Publishers,4320
942,30-06-1905,"Lover Enshrined, part one",J.R. Ward,eng,Excellent,4.12,87432,genre fiction,988.9,593.34,8.99,1106,Random House LLC,4320
943,05-07-1905,The Golem and the Jinni,Helene Wecker,eng,Excellent,4.1,59650,genre fiction,438.9,0,3.99,1107,"Amazon Digital Services,  Inc.",4320
944,04-07-1905,Ø§Ù„Ø£Ø³ÙˆØ¯ ÙŠÙ„ÙŠÙ‚ Ø¨Ùƒ,"Ø£Ø­Ù„Ø§Ù… Ù…Ø³ØªØºØ§Ù†Ù…ÙŠ, Ahlam Mosteghanemi",ara,Intermediate,3.72,42958,nonfiction,1200.1,720.06,10.91,1107,Simon and Schuster Digital Sales Inc,4320
945,25-06-1905,The Slippery Slope,"Lemony Snicket, Brett Helquist",en-US,Intermediate,4,81362,genre fiction,988.9,593.34,8.99,1111,Penguin Group (USA) LLC,4320
946,26-01-1905,Bleak House,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",eng,Intermediate,4,67433,genre fiction,988.9,593.34,8.99,1112,HarperCollins Publishers,4320
947,21-04-1905,"Caps for sale: a tale of a peddler, some monkeys and their monkey business",Esphyr Slobodkina,eng,Excellent,4.12,72504,genre fiction,548.9,329.34,4.99,1118,"Amazon Digital Services,  Inc.",4280
948,26-06-1905,Furies of Calderon ,Jim Butcher,eng,Excellent,4.12,70269,genre fiction,108.9,0,0.99,1119,"Amazon Digital Services,  Inc.",4280
949,05-06-1905,Alanna: The First Adventure,Tamora Pierce,en-US,Excellent,4.27,85699,genre fiction,1867.8,1120.68,16.98,1119,Penguin Group (USA) LLC,4280
950,01-07-1905,Her Fearful Symmetry,Audrey Niffenegger,en-GB,Novice,3.23,63737,nonfiction,416.9,250.14,3.79,1120,HarperCollins Publishers,4280
951,06-07-1905,The Boston Girl,Anita Diamant,eng,Intermediate,3.79,51603,genre fiction,548.9,0,4.99,1120,"Amazon Digital Services,  Inc.",4280
952,01-07-1905,"Lover Enshrined, part two",J.R. Ward,eng,Excellent,4.38,84650,children,493.9,296.34,4.49,1123,Macmillan,4280
953,12-06-1905,The Fall of Hyperion,Dan Simmons,eng,Excellent,4.18,63235,nonfiction,641.3,384.78,5.83,1124,Simon and Schuster Digital Sales Inc,4280
954,09-06-1905,The Black Dahlia,James Ellroy,en-US,Intermediate,3.75,61412,genre fiction,1088.91,653.346,9.99,1127,Random House LLC,4280
955,13-02-1905,"Through the Looking-Glass, and What Alice Found There","Lewis Carroll, John Tenniel, Peter Glassman",eng,Excellent,4.06,63050,fiction,216.91,130.146,1.99,1128,Simon and Schuster Digital Sales Inc,4280
956,13-06-1905,Wild Swans: Three Daughters of China,Jung Chang,en-US,Excellent,4.23,60193,nonfiction,434.91,260.946,3.99,1129,HarperCollins Christian Publishing,4280
957,14-05-1905,"Go, Dog. Go!",P.D. Eastman,eng,Excellent,4.08,66360,fiction,1160.85,696.51,10.65,1130,Penguin Group (USA) LLC,4280
958,20-04-1905,,"Laura Ingalls Wilder, Garth Williams",,Excellent,4.19,74666,genre fiction,516.66,309.996,4.74,1131,HarperCollins Publishers,4280
959,07-07-1905,Finders Keepers,Stephen King,eng,Excellent,4.03,36541,fiction,107.91,0,0.99,1131,"Amazon Digital Services,  Inc.",4280
960,01-07-1905,The Strain,"Guillermo del Toro, Chuck Hogan",en-US,Intermediate,3.77,58631,genre fiction,107.91,64.746,0.99,1132,"Amazon Digital Services,  Inc.",4280
961,04-03-1905,The Complete Poems of Emily Dickinson,"Emily Dickinson, Thomas H. Johnson",eng,Excellent,4.21,60278,genre fiction,543.91,0,4.99,1132,"Amazon Digital Services,  Inc.",4280
962,09-05-1905,Old Yeller,Fred Gipson,en-US,Excellent,4.06,69815,genre fiction,1502.02,901.212,13.78,1136,Macmillan,4280
963,29-06-1905,Born Standing Up: A Comic's Life,Steve Martin,eng,Intermediate,3.87,60869,nonfiction,107.91,64.746,0.99,1137,"Amazon Digital Services,  Inc.",4280
964,27-06-1905,PostSecret: Extraordinary Confessions from Ordinary Lives,Frank Warren,,Excellent,4.01,58841,nonfiction,107.91,0,0.99,1138,"Amazon Digital Services,  Inc.",4280
965,22-06-1905,A Storm of Swords: Part 2 Blood and Gold,George R.R. Martin,eng,Famous,4.56,54977,genre fiction,325.91,0,2.99,1140,"Amazon Digital Services,  Inc.",4280
966,05-05-1905,The Borrowers Afield,"Mary Norton, Beth Krush, Joe Krush",,Excellent,4.02,74820,genre fiction,706.32,423.792,6.48,1141,Hachette Book Group,4240
967,21-06-1905,Hearts in Atlantis,Stephen King,eng,Intermediate,3.8,65063,genre fiction,216.91,130.146,1.99,1142,Macmillan,4240
968,08-07-1905,,Jodi Picoult,eng,Excellent,4.35,73745,genre fiction,1306.91,784.146,11.99,1144,Penguin Group (USA) LLC,4240
969,04-06-1905,ç¾Šã‚’ã‚ãã‚‹å†’é™º [HitsujiwomegurubÅken],"Haruki Murakami, Alfred Birnbaum",eng,Intermediate,3.94,55262,nonfiction,960.29,576.174,8.81,1147,Simon and Schuster Digital Sales Inc,4240
970,25-06-1905,The Queen's Fool,Philippa Gregory,en-US,Intermediate,3.83,69504,genre fiction,598.41,359.046,5.49,1148,Simon and Schuster Digital Sales Inc,4240
971,04-07-1905,Days of Blood & Starlight,Laini Taylor,en-CA,Excellent,4.21,85746,genre fiction,325.91,195.546,2.99,1148,"Amazon Digital Services,  Inc.",4240
972,06-06-1905,Jitterbug Perfume,Tom Robbins,eng,Excellent,4.24,48277,genre fiction,325.91,0,2.99,1148,"Amazon Digital Services,  Inc.",4240
973,28-06-1905,"The Battle for Skandia (Ranger's Apprentice, #4)",John Flanagan,en-US,Excellent,4.32,60959,genre fiction,325.91,195.546,2.99,1149,"Amazon Digital Services,  Inc.",4240
974,04-07-1905,The Darkest Minds,Alexandra Bracken,eng,Excellent,4.26,83886,fiction,620.21,372.126,5.69,1150,Hachette Book Group,4240
975,27-06-1905,O Zahir,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.56,50921,genre fiction,434.91,0,3.99,1151,"Amazon Digital Services,  Inc.",4240
976,05-05-1905,The Power of Positive Thinking,Norman Vincent Peale,eng,Excellent,4.08,52704,genre fiction,325.91,0,2.99,1152,"Amazon Digital Services,  Inc.",4240
977,07-07-1905,"In a Dark, Dark Wood ",Ruth Ware,eng,Intermediate,3.65,67344,genre fiction,107.91,0,0.99,1153,"Amazon Digital Services,  Inc.",4240
978,19-03-1905,The House of Mirth,"Edith Wharton, Nina Bawden",eng,Intermediate,3.94,60611,genre fiction,325.91,0,2.99,1154,"Amazon Digital Services,  Inc.",4240
979,28-06-1905,Fairy Tail 1,"Hiro Mashima, William Flanagan",eng,Famous,4.4,65477,genre fiction,434.91,0,3.99,1155,"Amazon Digital Services,  Inc.",4240
980,06-07-1905,The Slow Regard of Silent Things,"Patrick Rothfuss, Nate  Taylor",eng,Intermediate,3.92,57716,genre fiction,434.91,0,3.99,1156,"Amazon Digital Services,  Inc.",4240
981,26-01-1905,Twelve Years a Slave,Solomon Northup,eng,Excellent,4.15,39758,genre fiction,543.91,326.346,4.99,1156,Random House LLC,4240
982,02-07-1905,"Lover Avenged, part one",J.R. Ward,eng,Famous,4.41,82824,genre fiction,543.91,0,4.99,1160,"Amazon Digital Services,  Inc.",109
983,21-06-1905,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,en-US,Excellent,4.16,57259,genre fiction,107.91,0,0.99,1160,"Amazon Digital Services,  Inc.",109
984,28-06-1905,Infidel,Ayaan Hirsi Ali,eng,Excellent,4.2,58432,genre fiction,107.91,0,0.99,1161,"Amazon Digital Services,  Inc.",109
985,29-06-1905,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,eng,Intermediate,3.88,53586,genre fiction,761.91,0,6.99,1161,"Amazon Digital Services,  Inc.",109
986,04-07-1905,The Twelve,Justin Cronin,eng,Intermediate,3.98,56756,genre fiction,538.92,0,4.99,1164,"Amazon Digital Services,  Inc.",108
987,15-05-1905,ÐžÐ´Ð¸Ð½ Ð´ÐµÐ½ÑŒ Ð˜Ð²Ð°Ð½Ð° Ð”ÐµÐ½Ð¸ÑÐ¾Ð²Ð¸Ñ‡Ð°,"Aleksandr Solzhenitsyn, H.T. Willetts",eng,Intermediate,3.94,61678,genre fiction,646.92,388.152,5.99,1166,Hachette Book Group,108
988,17-06-1905,The Diamond Age,Neal Stephenson,eng,Excellent,4.19,61836,genre fiction,970.92,582.552,8.99,1167,Macmillan,108
989,12-05-1905,A Canticle for Leibowitz,Walter M. Miller Jr.,eng,Intermediate,3.97,66721,genre fiction,106.92,0,0.99,1167,"Amazon Digital Services,  Inc.",108
990,###############################################################################################################################################################################################################################################################,á¼ˆÎ½Ï„Î¹Î³ÏŒÎ½Î·,"Sophocles, J.E. Thomas",eng,Intermediate,3.6,67608,genre fiction,106.92,64.152,0.99,1167,"Amazon Digital Services,  Inc.",108
991,01-07-1905,Brooklyn,Colm TÃ³ibÃ­n,eng,Intermediate,3.63,55459,genre fiction,1659.96,995.976,15.37,1168,"Amazon Digital Services,  Inc.",108
992,03-07-1905,Wither,Lauren DeStefano,eng,Intermediate,3.81,84776,genre fiction,412.56,0,3.82,1169,"Amazon Digital Services,  Inc.",108
993,08-07-1905,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,J.D. Vance,eng,Intermediate,3.99,80737,genre fiction,430.92,0,3.99,1169,"Amazon Digital Services,  Inc.",108
994,25-06-1905,Crossroads of Twilight,Robert Jordan,en-US,Intermediate,3.82,61361,genre fiction,430.92,0,3.99,1170,"Amazon Digital Services,  Inc.",108
995,13-02-1905,The Red Badge of Courage,Stephen Crane,eng,Novice,3.21,68448,genre fiction,1186.92,712.152,10.99,1173,Penguin Group (USA) LLC,108
996,06-07-1905,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,eng,Excellent,4.17,60236,genre fiction,1150.2,690.12,10.65,1174,Penguin Group (USA) LLC,108
997,21-06-1905,Gardens of the Moon,Steven Erikson,eng,Intermediate,3.85,57993,genre fiction,430.92,0,3.99,1175,"Amazon Digital Services,  Inc.",108
998,28-06-1905,A Bruxa de Portobello,Paulo Coelho,eng,Intermediate,3.51,51461,genre fiction,1327.32,796.392,12.29,1179,HarperCollins Publishers,108
999,31-05-1905,A Swiftly Tilting Planet,Madeleine L'Engle,eng,Excellent,4.13,75851,genre fiction,322.92,0,2.99,1182,"Amazon Digital Services,  Inc.",108
1000,25-06-1905,Gregor the Overlander,Suzanne Collins,eng,Intermediate,3.99,66823,genre fiction,322.92,0,2.99,1183,"Amazon Digital Services,  Inc.",108
1001,03-07-1905,Sing You Home,Jodi Picoult,en-US,Intermediate,3.76,62494,genre fiction,516.24,309.744,4.78,1184,"Amazon Digital Services,  Inc.",108
